Kalimat,Label
Ada kejadian perampokan di toko pakaian segera panggil polisi,Polisi
Saya menemukan anak yang tersesat di taman tolong hubungi polisi,Polisi
Ada kejadian penyerangan di pusat perbelanjaan segera hubungi polisi,Polisi
Saya kehilangan dompet saya di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko elektronik segera panggil polisi,Polisi
Saya menemukan anak yang hilang di taman bermain tolong hubungi polisi,Polisi
Ada kejadian perampokan di bank segera panggil polisi,Polisi
Saya kehilangan tas saya di stasiun kereta butuh bantuan polisi.,Polisi
Ada kejadian tabrakan di persimpangan jalan segera hubungi polisi,Polisi
Saya kehilangan kunci mobil di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko pakaian segera panggil polisi,Polisi
Saya menemukan anak yang tersesat di taman tolong hubungi polisi,Polisi
Ada kejadian penyerangan di pusat perbelanjaan segera hubungi polisi,Polisi
Saya kehilangan dompet saya di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko elektronik segera panggil polisi,Polisi
Saya menemukan anak yang hilang di taman bermain tolong hubungi polisi,Polisi
Ada kejadian perampokan di bank segera panggil polisi,Polisi
Saya kehilangan tas saya di stasiun kereta butuh bantuan polisi.,Polisi
Ada kejadian tabrakan di persimpangan jalan segera hubungi polisi,Polisi
Saya kehilangan kunci mobil di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko pakaian segera panggil polisi,Polisi
Saya menemukan anak yang tersesat di taman tolong hubungi polisi,Polisi
Ada kejadian penyerangan di pusat perbelanjaan segera hubungi polisi,Polisi
Saya kehilangan dompet saya di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko elektronik segera panggil polisi,Polisi
Saya menemukan anak yang hilang di taman bermain tolong hubungi polisi,Polisi
Ada kejadian perampokan di bank segera panggil polisi,Polisi
Saya kehilangan tas saya di stasiun kereta butuh bantuan polisi.,Polisi
Ada kejadian tabrakan di persimpangan jalan segera hubungi polisi,Polisi
Saya kehilangan kunci mobil di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko pakaian segera panggil polisi,Polisi
Saya menemukan anak yang tersesat di taman tolong hubungi polisi,Polisi
Ada kejadian penyerangan di pusat perbelanjaan segera hubungi polisi,Polisi
Saya kehilangan dompet saya di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko elektronik segera panggil polisi,Polisi
Saya menemukan anak yang hilang di taman bermain tolong hubungi polisi,Polisi
Ada kejadian perampokan di bank segera panggil polisi,Polisi
Saya kehilangan tas saya di stasiun kereta butuh bantuan polisi.,Polisi
Ada kejadian tabrakan di persimpangan jalan segera hubungi polisi,Polisi
Saya kehilangan kunci mobil di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko pakaian segera panggil polisi,Polisi
Saya menemukan anak yang tersesat di taman tolong hubungi polisi,Polisi
Ada kejadian penyerangan di pusat perbelanjaan segera hubungi polisi,Polisi
Saya kehilangan dompet saya di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko elektronik segera panggil polisi,Polisi
Saya menemukan anak yang hilang di taman bermain tolong hubungi polisi,Polisi
Ada kejadian perampokan di bank segera panggil polisi,Polisi
Saya kehilangan tas saya di stasiun kereta butuh bantuan polisi.,Polisi
Ada kejadian tabrakan di persimpangan jalan segera hubungi polisi,Polisi
Saya kehilangan kunci mobil di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko pakaian segera panggil polisi,Polisi
Saya menemukan anak yang tersesat di taman tolong hubungi polisi,Polisi
Ada kejadian penyerangan di pusat perbelanjaan segera hubungi polisi,Polisi
Saya kehilangan dompet saya di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko elektronik segera panggil polisi,Polisi
Saya menemukan anak yang hilang di taman bermain tolong hubungi polisi,Polisi
Ada kejadian perampokan di bank segera panggil polisi,Polisi
Saya kehilangan tas saya di stasiun kereta butuh bantuan polisi.,Polisi
Ada kejadian tabrakan di persimpangan jalan segera hubungi polisi,Polisi
Saya kehilangan kunci mobil di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko pakaian segera panggil polisi,Polisi
Saya menemukan anak yang tersesat di taman tolong hubungi polisi,Polisi
Ada kejadian penyerangan di pusat perbelanjaan segera hubungi polisi,Polisi
Saya kehilangan dompet saya di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko elektronik segera panggil polisi,Polisi
Saya menemukan anak yang hilang di taman bermain tolong hubungi polisi,Polisi
Ada kejadian perampokan di bank segera panggil polisi,Polisi
Saya kehilangan tas saya di stasiun kereta butuh bantuan polisi.,Polisi
Ada kejadian tabrakan di persimpangan jalan segera hubungi polisi,Polisi
Saya kehilangan kunci mobil di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko pakaian segera panggil polisi,Polisi
Saya menemukan anak yang tersesat di taman tolong hubungi polisi,Polisi
Ada kejadian penyerangan di pusat perbelanjaan segera hubungi polisi,Polisi
Saya kehilangan dompet saya di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko elektronik segera panggil polisi,Polisi
Saya menemukan anak yang hilang di taman bermain tolong hubungi polisi,Polisi
Ada kejadian perampokan di bank segera panggil polisi,Polisi
Saya kehilangan tas saya di stasiun kereta butuh bantuan polisi.,Polisi
Ada kejadian tabrakan di persimpangan jalan segera hubungi polisi,Polisi
Saya kehilangan kunci mobil di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko pakaian segera panggil polisi,Polisi
Saya menemukan anak yang tersesat di taman tolong hubungi polisi,Polisi
Ada kejadian penyerangan di pusat perbelanjaan segera hubungi polisi,Polisi
Saya kehilangan dompet saya di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko elektronik segera panggil polisi,Polisi
Saya menemukan anak yang hilang di taman bermain tolong hubungi polisi,Polisi
Ada kejadian perampokan di bank segera panggil polisi,Polisi
Saya kehilangan tas saya di stasiun kereta butuh bantuan polisi.,Polisi
Ada kejadian tabrakan di persimpangan jalan segera hubungi polisi,Polisi
Saya kehilangan kunci mobil di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko pakaian segera panggil polisi,Polisi
Saya menemukan anak yang tersesat di taman tolong hubungi polisi,Polisi
Ada kejadian penyerangan di pusat perbelanjaan segera hubungi polisi,Polisi
Saya kehilangan dompet saya di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko elektronik segera panggil polisi,Polisi
Saya menemukan anak yang hilang di taman bermain tolong hubungi polisi,Polisi
Ada kejadian perampokan di bank segera panggil polisi,Polisi
Saya kehilangan tas saya di stasiun kereta butuh bantuan polisi.,Polisi
Ada kejadian tabrakan di persimpangan jalan segera hubungi polisi,Polisi
Saya kehilangan kunci mobil di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko pakaian segera panggil polisi,Polisi
Saya menemukan anak yang tersesat di taman tolong hubungi polisi,Polisi
Ada kejadian penyerangan di pusat perbelanjaan segera hubungi polisi,Polisi
Saya kehilangan dompet saya di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko elektronik segera panggil polisi,Polisi
Saya menemukan anak yang hilang di taman bermain tolong hubungi polisi,Polisi
Ada kejadian perampokan di bank segera panggil polisi,Polisi
Saya kehilangan tas saya di stasiun kereta butuh bantuan polisi.,Polisi
Ada kejadian tabrakan di persimpangan jalan segera hubungi polisi,Polisi
Saya kehilangan kunci mobil di pusat perbelanjaan butuh bantuan polisi.,Polisi
Ada kejadian perampokan di toko pakaian segera panggil polisi,Polisi
Mohon bantuan polisi ada perampokan di bank,Polisi
Butuh bantuan polisi saya kehilangan dompet di pusat perbelanjaan.,Polisi
Panggil polisi segera ada perampokan di toko pakaian,Polisi
Tolong hubungi polisi saya menemukan anak yang tersesat di taman.,Polisi
Segera hubungi polisi ada penyerangan di pusat perbelanjaan,Polisi
Butuh bantuan polisi saya kehilangan tas di stasiun kereta.,Polisi
Segera panggil polisi ada perampokan di toko elektronik,Polisi
Tolong hubungi polisi saya menemukan anak yang hilang di taman bermain.,Polisi
Segera panggil polisi ada perampokan di bank,Polisi
Saya menjadi korban pencurian di rumah saya mohon bantuan polisi segera,Polisi
Saya kehilangan dompet saya di taman bermain mohon bantuan polisi untuk menemukannya,Polisi
Ada perampokan di toko elektronik segera hubungi polisi,Polisi
Ada perampokan di minimarket segera hubungi polisi,Polisi
Terjadi kecelakaan mobil di persimpangan tolong panggil polisi,Polisi
Tolong hubungi polisi ada seseorang yang mencurigakan di sekitar kompleks perumahan,Polisi
Saya menemukan sepeda motor yang ditinggalkan di jalan mohon bantuan polisi untuk pengecekan,Polisi
Ada penyerangan di pusat hiburan malam segera hubungi polisi,Polisi
Saya kehilangan anak saya di pusat perbelanjaan mohon bantuan polisi untuk pencarian,Polisi
Ada perampokan di toko perhiasan segera panggil polisi,Polisi
Saya menemukan seorang anak yang tersesat di jalanan tolong hubungi polisi secepatnya,Polisi
Ada perampokan di bank segera hubungi polisi,Polisi
Saya melihat seseorang mencurigakan di sekitar rumah tetangga mohon bantuan polisi,Polisi
Segera panggil polisi ada perampokan di toko pakaian,Polisi
Tolong hubungi polisi ada mobil yang terbawa arus banjir di jalan raya,Polisi
Ada perampokan di minimarket segera panggil polisi,Polisi
Tolong hubungi polisi ada seseorang yang mencurigakan di sekitar kompleks perumahan,Polisi
Saya menemukan sepeda motor yang ditinggalkan di jalan mohon bantuan polisi untuk pengecekan,Polisi
Ada penyerangan di pusat hiburan malam segera hubungi polisi,Polisi
Saya kehilangan anak saya di pusat perbelanjaan mohon bantuan polisi untuk pencarian,Polisi
Ada perampokan di toko perhiasan segera panggil polisi,Polisi
Saya menemukan seorang anak yang tersesat di jalanan tolong hubungi polisi secepatnya,Polisi
Ada perampokan di bank segera hubungi polisi,Polisi
Saya melihat seseorang mencurigakan di sekitar rumah tetangga mohon bantuan polisi,Polisi
Segera panggil polisi ada perampokan di toko pakaian,Polisi
Tolong hubungi polisi ada mobil yang terbawa arus banjir di jalan raya,Polisi
Ada perampokan di minimarket segera panggil polisi,Polisi
Tolong hubungi polisi ada seseorang yang mencurigakan di sekitar kompleks perumahan,Polisi
Saya menemukan sepeda motor yang ditinggalkan di jalan mohon bantuan polisi untuk pengecekan,Polisi
Ada penyerangan di pusat hiburan malam segera hubungi polisi,Polisi
Saya kehilangan anak saya di pusat perbelanjaan mohon bantuan polisi untuk pencarian,Polisi
Ada perampokan di toko perhiasan segera panggil polisi,Polisi
Saya menemukan seorang anak yang tersesat di jalanan tolong hubungi polisi secepatnya,Polisi
Ada perampokan di bank segera hubungi polisi,Polisi
Saya menemukan sepeda motor yang ditinggalkan di jalan mohon bantuan polisi untuk pengecekan,Polisi
Ada penyerangan di pusat hiburan malam segera hubungi polisi,Polisi
Saya kehilangan anak saya di pusat perbelanjaan mohon bantuan polisi untuk pencarian,Polisi
Ada perampokan di toko perhiasan segera panggil polisi,Polisi
Saya menemukan seorang anak yang tersesat di jalanan tolong hubungi polisi secepatnya,Polisi
Ada perampokan di bank segera hubungi polisi,Polisi
Saya melihat sekelompok orang mencurigakan di tengah malam mohon bantuan polisi,Polisi
Segera panggil polisi ada perampokan di toko elektronik,Polisi
Tolong hubungi polisi ada seseorang yang mencurigakan di sekitar taman kota,Polisi
Ada perampokan di minimarket segera hubungi polisi,Polisi
Tolong hubungi polisi ada seseorang yang mencurigakan di sekitar tempat parkir,Polisi
Tolong telepon polisi,Polisi
Tolong segera hubungi rumah sakit.,RS
Bisa antar saya ke rumah sakit terdekat?,RS
Seorang pria terluka parah segera panggil rumah sakit,RS
Tolong antar saya ke rumah sakit terdekat.,RS
Seorang wanita mengalami cedera serius segera panggil ambulans,RS
Tolong antar saya ke rumah sakit secepatnya.,RS
Segera hubungi rumah sakit ada seseorang yang membutuhkan pertolongan,RS
Tolong antar saya ke rumah sakit dengan segera.,RS
Tolong antar saya ke rumah sakit secepatnya.,RS
Seseorang terluka parah Panggil ambulans segera,RS
Tolong bawa saya ke rumah sakit terdekat.,RS
Tolong antar saya ke rumah sakit dengan segera.,RS
Saya merasa sangat sakit butuh bantuan medis segera.,RS
Tolong antar saya ke rumah sakit saya terjatuh dan terluka.,RS
Saya melihat orang terluka di taman tolong hubungi rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya pingsan.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya sangat sakit.,RS
Saya menemukan orang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya terluka parah.,RS
Saya butuh pertolongan medis segera tolong antar saya ke rumah sakit.,RS
Tolong bawa saya ke rumah sakit saya mengalami luka parah.,RS
Tolong antar saya ke rumah sakit terdekat saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami serangan jantung.,RS
Saya melihat seseorang terluka di jalanan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya terkena serangan alergi.,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami patah tulang.,RS
Saya melihat seseorang terluka di lapangan tolong bawa ke rumah sakit,RS
Tolong antar saya ke rumah sakit secepat mungkin saya mengalami luka bakar.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong bawa ke rumah sakit,RS
Tolong bawa saya ke rumah sakit terdekat saya mengalami serangan asma.,RS
Saya menemukan seseorang yang tidak sadarkan diri di taman tolong dibawa ke rumah sakit,RS
Saya mengalami serangan asma harap antar saya ke rumah sakit terdekat.,RS
Saya mengalami serangan jantung mohon antar saya ke rumah sakit terdekat.,RS
Saya melihat seseorang terluka di jalanan tolong antar ke rumah sakit,RS
Saya terkena serangan asma harap bawa ke rumah sakit terdekat.,RS
Saya mengalami patah tulang harap antar ke rumah sakit terdekat.,RS
Tolong bawa saya ke rumah sakit saya mengalami luka serius setelah kecelakaan mobil.,RS
Mohon antar saya ke rumah sakit saya merasa sangat lemah dan sakit.,RS
Saya menemukan seseorang yang pingsan di jalan tolong bawa ke rumah sakit dengan cepat,RS
Saya membutuhkan perawatan medis darurat harap antar saya ke rumah sakit secepatnya.,RS
Tolong bawa saya ke rumah sakit saya terjatuh dan mengalami patah tulang.,RS
Saya mengalami luka bakar parah mohon antar saya ke rumah sakit dengan segera,RS
Saya merasa sesak napas dan pusing harap antar saya ke rumah sakit secepatnya.,RS
Saya mengalami pendarahan parah tolong antar saya ke rumah sakit dengan segera,RS
Saya mengalami patah tulang saat bermain olahraga tolong bawa saya ke rumah sakit terdekat,RS
Saya mengalami pingsan mendadak mohon antar saya ke rumah sakit secepatnya,RS
Saya mengalami luka parah setelah kecelakaan mobil tolong antar saya ke rumah sakit,RS
Saya menemukan seseorang yang menggigil kedinginan di taman butuh bantuan rumah sakit,RS
Saya mengalami cedera kepala setelah jatuh mohon antar saya ke rumah sakit dengan cepat,RS
Saya menemukan seseorang yang pingsan di jalan tolong bawa ke rumah sakit dengan segera,RS
Saya merasa sesak napas dan pusing harap antar saya ke rumah sakit secepatnya.,RS
Saya mengalami pendarahan parah tolong antar saya ke rumah sakit dengan segera,RS
Saya mengalami patah tulang saat bermain olahraga tolong bawa saya ke rumah sakit terdekat,RS
Saya mengalami pingsan mendadak mohon antar saya ke rumah sakit secepatnya,RS
Saya mengalami luka parah setelah kecelakaan mobil tolong antar saya ke rumah sakit,RS
Saya menemukan seseorang yang menggigil kedinginan di taman butuh bantuan rumah sakit,RS
Saya mengalami cedera kepala setelah jatuh mohon antar saya ke rumah sakit dengan cepat,RS
Saya menemukan seseorang yang pingsan di jalan tolong bawa ke rumah sakit dengan segera,RS
Saya merasa sesak napas dan pusing harap antar saya ke rumah sakit secepatnya.,RS
Saya mengalami pendarahan parah tolong antar saya ke rumah sakit dengan segera,RS
Saya mengalami patah tulang saat bermain olahraga tolong bawa saya ke rumah sakit terdekat,RS
Saya mengalami pingsan mendadak mohon antar saya ke rumah sakit secepatnya,RS
